ID	Label
D1-1	AI
D1-2	AI
D1-3	Human
D1-4	AI
D1-5	Human
D1-6	AI
D1-7	AI
D1-8	AI
D1-9	Human
D1-10	Human
D1-11	Human
D1-12	AI
D1-13	Human
D1-14	Human
D1-15	Human
D1-16	Human
D1-17	Human
D1-18	AI
D1-19	Human
D1-20	AI
D1-21	AI
D1-22	AI
D1-23	AI
D1-24	AI
D1-25	Human
D1-26	AI
D1-27	Human
D1-28	AI
D1-29	Human
D1-30	Human
D1-31	Human
D1-32	Human
D1-33	AI
D1-34	AI
D1-35	Human
D1-36	Human
D1-37	AI
D1-38	AI
D1-39	Human
D1-40	Human
D1-41	AI
D1-42	Human
D1-43	AI
D1-44	AI
D1-45	Human
D1-46	Human
D1-47	AI
D1-48	Human
D1-49	AI
D1-50	Human
D1-51	Human
D1-52	Human
D1-53	AI
D1-54	Human
D1-55	Human
D1-56	AI
D1-57	Human
D1-58	Human
D1-59	AI
D1-60	Human
D1-61	Human
D1-62	Human
D1-63	Human
D1-64	AI
D1-65	AI
D1-66	AI
D1-67	Human
D1-68	Human
D1-69	AI
D1-70	AI
D1-71	AI
D1-72	Human
D1-73	Human
D1-74	Human
D1-75	Human
D1-76	AI
D1-77	Human
D1-78	Human
D1-79	Human
D1-80	Human
D1-81	AI
D1-82	Human
D1-83	Human
D1-84	AI
D1-85	Human
D1-86	Human
D1-87	Human
D1-88	AI
D1-89	Human
D1-90	AI
D1-91	AI
D1-92	AI
D1-93	Human
D1-94	Human
D1-95	Human
D1-96	Human
D1-97	Human
D1-98	Human
D1-99	AI
D1-100	Human
D1-101	Human
D1-102	AI
D1-103	Human
D1-104	Human
D1-105	AI
D1-106	AI
D1-107	AI
D1-108	Human
D1-109	AI
D1-110	AI
D1-111	AI
D1-112	AI
D1-113	Human
D1-114	Human
D1-115	Human
D1-116	Human
D1-117	Human
D1-118	AI
D1-119	AI
D1-120	AI
D1-121	Human
D1-122	Human
D1-123	AI
D1-124	AI
D1-125	Human
D1-126	AI
D1-127	Human
D1-128	Human
D1-129	Human
D1-130	AI
